ave_threshold_exposure,ave_time_exposure,ave_time_sum
1.0,0.9546834477960616,1.0
1.0,0.954373060452199,1.0
1.0,0.9540626731083365,1.0
1.0,0.9537522857644738,1.0
1.0,0.9534418984206112,1.0
1.0,0.9531315110767486,1.0
1.0,0.9528211237328861,1.0
1.0,0.9525107363890235,1.0
1.0,0.9522003490451608,1.0
1.0,0.9518899617012982,1.0
1.0,0.9515795743574357,1.0
1.0,0.9512691870135731,1.0
1.0,0.9509587996697105,1.0
1.0,0.950648412325848,1.0
1.0,0.9503380249819854,1.0
1.0,0.9500276376381227,1.0
1.0,0.9497172502942601,1.0
1.0,0.9494068629503976,1.0
1.0,0.949096475606535,1.0
1.0,0.9487860882626724,1.0
1.0,0.9484757009188097,1.0
1.0,0.9481653135749472,1.0
1.0,0.9478549262310846,1.0
1.0,0.947544538887222,1.0
1.0,0.9472341515433594,1.0
1.0,0.9469237641994969,1.0
1.0,0.9466133768556342,1.0
1.0,0.9463029895117716,1.0
1.0,0.945992602167909,1.0
1.0,0.9456822148240465,1.0
1.0,0.9453718274801839,1.0
1.0,0.9450614401363212,1.0
1.0,0.9447510527924586,1.0
1.0,0.9444406654485961,1.0
1.0,0.9441302781047335,1.0
1.0,0.9438198907608709,1.0
1.0,0.9435095034170083,1.0
1.0,0.9431991160731458,1.0
1.0,0.9428887287292832,1.0
1.0,0.9425783413854205,1.0
0.9726859137400925,0.9422679540415579,1.2115509988394497
0.9382329185713443,0.9419575666976954,1.478393736011947
0.9382329185713443,0.9416471793538328,1.478393736011947
0.9382329185713443,0.9413367920099702,1.478393736011947
0.9382329185713443,0.9410264046661075,1.478393736011947
0.9382329185713443,0.940716017322245,1.478393736011947
0.9382329185713443,0.9404056299783824,1.478393736011947
0.9413367920099697,0.9400952426345198,1.4543538497801947
0.9819975340559702,0.9397848552906573,1.1394313401441818
1.0,0.9394744679467947,1.0
1.0,0.939164080602932,1.0
1.0,0.9388536932590694,1.0
1.0,0.9385433059152068,1.0
1.0,0.9382329185713443,1.0
