ave_threshold_exposure,ave_time_exposure,ave_time_sum
0.9091960627283723,0.7269003094866676,1.5627695169409086
0.7233317536255011,0.7268219721820859,2.7146883719293813
0.7248635753920163,0.7267436348775042,1.940876264879031
0.7328983724085152,0.7266652975729224,1.4766642506705174
0.7416662696512873,0.7265869602683407,1.4642864505301931
0.7382539223052965,0.7265086229637591,1.2580622512194881
0.7357200404088974,0.7264302856591773,1.1284410722087346
0.7357200404088974,0.7263519483545956,1.1284410722087346
0.7357200404088974,0.7262736110500139,1.1284410722087346
0.7357200404088974,0.7261952737454321,1.1284410722087346
0.7357200404088974,0.7261169364408504,1.1284410722087346
0.7357200404088974,0.7260385991362687,1.1284410722087346
0.7357200404088974,0.7259602618316869,1.1284410722087346
0.7357200404088974,0.7258819245271052,1.1284410722087346
0.7357200404088974,0.7258035872225235,1.1284410722087346
0.7357200404088974,0.7257252499179417,1.1284410722087346
0.7357200404088974,0.72564691261336,1.1284410722087346
0.7357200404088974,0.7255685753087783,1.1284410722087346
0.7357200404088974,0.7254902380041965,1.1284410722087346
0.7357200404088974,0.7254119006996148,1.1284410722087346
0.7357200404088974,0.7253335633950331,1.1284410722087346
0.7357200404088974,0.7252552260904513,1.1284410722087346
0.7357200404088974,0.7251768887858696,1.1284410722087346
0.7357200404088974,0.7250985514812879,1.1284410722087346
0.7357200404088974,0.7250202141767061,1.1284410722087346
0.7357200404088974,0.7249418768721245,1.1284410722087346
0.7357200404088974,0.7248635395675428,1.1284410722087346
0.7357200404088974,0.7247852022629611,1.1284410722087346
0.7357200404088974,0.7247068649583793,1.1284410722087346
0.7357200404088974,0.7246285276537976,1.1284410722087346
0.7357200404088974,0.7245501903492159,1.1284410722087346
0.7357200404088974,0.7244718530446341,1.1284410722087346
0.7357200404088974,0.7243935157400524,1.1284410722087346
0.7357200404088974,0.7243151784354707,1.1284410722087346
0.7357200404088974,0.7242368411308889,1.1284410722087346
0.7357200404088974,0.7241585038263072,1.1284410722087346
0.7357200404088974,0.7240801665217255,1.1284410722087346
0.7357200404088974,0.7240018292171437,1.1284410722087346
0.7357200404088974,0.723923491912562,1.1284410722087346
0.7357200404088974,0.7238451546079803,1.1284410722087346
0.7357200404088974,0.7237668173033985,1.1284410722087346
0.7357200404088974,0.7236884799988168,1.1284410722087346
0.7357200404088974,0.7236101426942351,1.1284410722087346
0.7357200404088974,0.7235318053896533,1.1284410722087346
0.7357200404088974,0.7234534680850716,1.1284410722087346
0.7357200404088974,0.7233751307804899,1.1284410722087346
0.7357200404088974,0.7232967934759083,1.1284410722087346
0.7357200404088974,0.7232184561713265,1.1284410722087346
0.7357200404088974,0.7231401188667448,1.1284410722087346
0.7357200404088974,0.723061781562163,1.1284410722087346
0.7357200404088974,0.7229834442575813,1.1284410722087346
0.7357200404088974,0.7229051069529996,1.1284410722087346
0.7357200404088974,0.7228267696484179,1.1284410722087346
0.7357200404088974,0.7227484323438361,1.1284410722087346
0.7357200404088974,0.7226700950392544,1.1284410722087346
0.7357200404088974,0.7225917577346727,1.1284410722087346
0.7357200404088974,0.7225134204300909,1.1284410722087346
0.7357200404088974,0.7224350831255092,1.1284410722087346
0.7357200404088974,0.7223567458209275,1.1284410722087346
0.7357200404088974,0.7222784085163457,1.1284410722087346
0.7357200404088974,0.722200071211764,1.1284410722087346
0.7357200404088974,0.7221217339071823,1.1284410722087346
0.7357200404088974,0.7220433966026005,1.1284410722087346
0.7357200404088974,0.7219650592980188,1.1284410722087346
0.7357200404088974,0.7218867219934371,1.1284410722087346
0.7357200404088974,0.7218083846888553,1.1284410722087346
0.7357200404088974,0.7217300473842736,1.1284410722087346
0.7357200404088974,0.721651710079692,1.1284410722087346
0.7357200404088974,0.7215733727751102,1.1284410722087346
0.7357200404088974,0.7214950354705285,1.1284410722087346
0.7357200404088974,0.7214166981659468,1.1284410722087346
0.7357200404088974,0.721338360861365,1.1284410722087346
0.7357200404088974,0.7212600235567833,1.1284410722087346
0.7357200404088974,0.7211816862522016,1.1284410722087346
0.7357200404088974,0.7211033489476198,1.1284410722087346
0.7357200404088974,0.7210250116430381,1.1284410722087346
0.7357200404088974,0.7209466743384564,1.1284410722087346
0.7357200404088974,0.7208683370338747,1.1284410722087346
0.7357200404088974,0.7207899997292929,1.1284410722087346
0.7357200404088974,0.7207116624247112,1.1284410722087346
0.7357200404088974,0.7206333251201295,1.1284410722087346
0.7357200404088974,0.7205549878155477,1.1284410722087346
0.7357200404088974,0.720476650510966,1.1284410722087346
0.7357200404088974,0.7203983132063843,1.1284410722087346
0.7357200404088974,0.7203199759018025,1.1284410722087346
0.7357200404088974,0.7202416385972208,1.1284410722087346
0.7357200404088974,0.7201633012926391,1.1284410722087346
0.7357200404088974,0.7200849639880574,1.1284410722087346
0.8021220403061566,0.7200066266834757,1.0961694460256368
0.9760952800369833,0.719928289378894,1.011617785425917
1.0,0.7198499520743122,1.0
1.0,0.7197716147697305,1.0
1.0,0.7196932774651488,1.0
1.0,0.719614940160567,1.0
1.0,0.7195366028559853,1.0
1.0,0.7194582655514036,1.0
1.0,0.7193799282468218,1.0
1.0,0.7193015909422401,1.0
1.0,0.7192232536376584,1.0
1.0,0.7191449163330766,1.0
1.0,0.7190665790284949,1.0
1.0,0.7189882417239132,1.0
1.0,0.7189099044193314,1.0
1.0,0.7188315671147497,1.0
1.0,0.718753229810168,1.0
1.0,0.7186748925055862,1.0
1.0,0.7185965552010045,1.0
1.0,0.7185182178964228,1.0
1.0,0.7184398805918412,1.0
1.0,0.7183615432872594,1.0
1.0,0.7182832059826777,1.0
1.0,0.718204868678096,1.0
1.0,0.7181265313735142,1.0
1.0,0.7180481940689325,1.0
1.0,0.7179698567643508,1.0
1.0,0.717891519459769,1.0
1.0,0.7178131821551873,1.0
1.0,0.7177348448506056,1.0
1.0,0.7176565075460238,1.0
