threshold,normal_time,aqi_time,average_normal_exp_history,average_route_exp_history,total_normal_exp_history,total_route_exp
104,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
103,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
102,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
101,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
100,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
99,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
98,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
97,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
96,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
95,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
94,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
93,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
92,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
91,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
90,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
89,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
88,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
87,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
86,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
85,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
84,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
83,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
82,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
81,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
80,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
79,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
78,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
